name, artist, album, genre, played
Nallai Allai,"A. R. Rahman, Sathya Prakash & Chinmayi",Kaatru Veliyidai (Original Motion Picture Soundtrack) - EP,Tamil,36
Mayya,A.R. Rahman Feat. Mariam Toller; Chinmaye and Kirti Sagathia,Guru,Indian Film Pop,36
He Won't Go,Adele,21,Pop,36
24K Magic,Bruno Mars,24K Magic,Pop,36
Bernstein: West Side Story Suite - Mambo,Eric Crees: Philip Jones Brass Ensemble,Brass Band Spectacular,Other Classical,36
Wanna Mashup-StarMusiQ.Com,"Kash & Krissy, Suvi Suresh",Highway,StarMusiQ.Com,36
Engal Kochadaiiyaan-StarMusiQ.Com,Kochadaiiyaan Ensemble,Kochadaiyaan,StarMusiQ.Com,36
Track 9,M L Vasanthakumari,Thiruppavai Vol 1,Genre,36
03 Manamulena=sudda Danyasi,MS Subbulakshmi,TR2 013 l1-2 MS,Sudda danyasi,36
Aaj Ki Raat,A R Rahman,Slumdog Millionaire,A.R.Rahman - Other,36
Yennai Maatrum Kadhale [HqMp3Songs.Com],Sid Sriram,Naanum Rowdy Dhaan (2015),Tamil,36
Sunny Rain,Yiruma,Missing You,New Age,36
Hozier - Take Me To Church,,,,36
Miracles,Coldplay,Unbroken (Original Motion Picture Soundtrack),Alternative,35
Fix You,Coldplay,X & Y,Alternative Rock,35
Warriors,Imagine Dragons,Smoke + Mirrors (Deluxe),Alternative,35
Track 10,M L Vasanthakumari,Thiruppavai Vol 1,Genre,35
John Legend - All of Me,,,,35
When We Were Young,Adele,25,Pop,34
Nocturne No.2 in E flat - Op.9 No.2,Frederic Chopin,Favorite Piano Works by Vladimir Ashkenazy,,34
Track 03,M S Subbulakshmi,The Golden Collection - MS Vol 1,Carnatic,34
Kannukul Kannai,Naresh Iyer,Vinnaithandi Varuvayya,A.R.Rahman - Tamil,34
LALITHA LAVANGA,NITYASANTOSHINI,SRI JAYADEVA ASHTAPADI,Other,34
Mannipaya,"A R Rahman, Shreya Ghoshal",Vinnaithandi Varuvayya,A.R.Rahman - Tamil,34
Tu Kuja-StarMusiQ.Com,Sunidhi Chauhan,Highway,StarMusiQ.Com,34
You're Beautiful,James Blunt,You're Beautiful,Pop,34
Kadal Anukkal,"Vijay Prakash, Shreya Ghoshal",Endhiran,A.R.Rahman - Tamil,34
Gabriel,Yiruma,Missing You,New Age,34
Piano Sonata No. 14 In C Sharp Minor Moonlight,Beethoven,The Most Relaxing Classical Album In The World,Classical,33
Cake by the Ocean,DNCE,DNCE,Pop,33
Tidus' Theme,"Nobuo Uematsu, Aki Kuroda",FF X Piano Collection,Game,33
Wasted (feat. Matthew Koma),Tiësto,A Town Called Paradise (Deluxe),Dance,33
I'm not sure yet - Andy Lange,,,,33
(Yuva 2004) Fanaa,"(A. R. Rahman) A. R. Rahman, Sunitha Sarathy, Tanvi",Yuva,A.R.Rahman - Hindi,32
Boom Clap,Charli XCX,The Fault In Our Stars: Music From The Motion Picture,Techno Pop,32
Up&Up,Coldplay,A Head Full of Dreams,Alternative,32
Étude No.23 in A minor - Op.25 No.11 (Winter Wind),Frederic Chopin,Favorite Piano Works by Vladimir Ashkenazy,,32
Sundari Siriya Rettai,"Hariharan, Tippu, Sujatha Mohan, Karthik, Madhumitha",Kannathil Muthamittal,Soundtrack,32
MAMEYAM CHALITHA,NITYASANTOSHINI,SRI JAYADEVA ASHTAPADI,Other,32
"Bach: Cello Suite #1 In G, BWV 1007 - 2. Allemande",Pierre Fournier,Bach: Cello Suites [Disc 1],Other Classical,32
